"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"ALEMBICLTD","Alembic Limited","7(2)","Nirayu Limited","Promoter Group","Equity Shares","154618132","60.21",,"3926391","212404248","Buy","Equity Shares","158544523","61.74","05-Jun-2020","05-Jun-2020","08-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","08-Jun-2020 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1073191_264138_08062020064455_WEB.xml"
"ALEMBICLTD","Alembic Limited","7(2)","Nirayu Limited","Promoter Group","Equity Shares","154597750","60.21",,"20382","1101594","Buy","Equity Shares","154618132","60.21","03-Jun-2020","03-Jun-2020","04-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","05-Jun-2020 17:51","https://archives.nseindia.com/corporate/xbrl/IT_1073110_263731_05062020055150_WEB.xml"
"ALEMBICLTD","Alembic Limited","7(2)","Nirayu Limited","Promoter Group","Equity Shares","153549378","59.8",,"1048372","56695498","Buy","Equity Shares","154597750","60.21","01-Jun-2020","02-Jun-2020","02-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","03-Jun-2020 19:36","https://archives.nseindia.com/corporate/xbrl/IT_1072998_263308_03062020073646_WEB.xml"
