"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"TITAN","Titan Company Limited","7(2)","Ajoy Chawla","Employees/Designated Employees","Equity Shares","5820","0",,"200","776","Sell","Equity Shares","5620","0","24-Sep-2018","24-Sep-2018","11-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","13-Jul-2020 11:06","https://archives.nseindia.com/corporate/xbrl/IT_1075035_280277_13072020110635_WEB.xml"
"CKPLEISURE","CKP Leisure Limited","7(2)","PRAFULLA BHAT","Director","Equity Shares","2298250","23.85",,"100000","580000","Sell","Equity Shares","2198250","22.82","03-Feb-2020","03-Feb-2020","10-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","10-Jul-2020 21:52","https://archives.nseindia.com/corporate/xbrl/IT_1075026_279113_10072020095245_WEB.xml"
"CKPLEISURE","CKP Leisure Limited","7(2)","PRAFULLA BHAT","Director","Equity Shares","2394250","23.85",,"96000","556800","Sell","Equity Shares","2298250","23.85","28-Jan-2020","28-Jan-2020","10-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","10-Jul-2020 21:44","https://archives.nseindia.com/corporate/xbrl/IT_1075024_279106_10072020094429_WEB.xml"
"CKPLEISURE","CKP Leisure Limited","7(2)","PRAFULLA BHAT","Promoters","Equity Shares","2494250","25.89",,"100000","635000","Sell","Equity Shares","2394250","24.89","23-Dec-2019","23-Dec-2019","10-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","10-Jul-2020 21:36","https://archives.nseindia.com/corporate/xbrl/IT_1075022_279099_10072020093636_WEB.xml"
"CKPLEISURE","CKP Leisure Limited","7(2)","PRAFULLA BHAT","Director","Equity Shares","2695250","27.96",,"200000","1310000","Sell","Equity Shares","2495250","25.59","20-Dec-2019","20-Dec-2019","10-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","10-Jul-2020 21:25","https://archives.nseindia.com/corporate/xbrl/IT_1075020_279095_10072020092535_WEB.xml"
"OMAXE","Omaxe Limited","7(2)","Guild Builders Private Limited","Promoters","Equity Shares","114110687","62.39",,"160000","16472000","Pledge Invoke","Equity Shares","113950687","62.3","04-Jul-2020","04-Jul-2020","10-Jul-2020","Invocation of pledge","-","-","0","0","0","0","NA","-","10-Jul-2020 18:41","https://archives.nseindia.com/corporate/xbrl/IT_1075017_278956_10072020064153_WEB.xml"
"OMAXE","Omaxe Limited","7(2)","Guild Builders Private Limited","Promoters","Equity Shares","113950687","62.3",,"5300000","53000000","Pledge","Equity Shares","113950687","62.3","08-Jul-2020","08-Jul-2020","10-Jul-2020","Pledge Creation","-","-","0","0","0","0","NA","-","10-Jul-2020 18:41","https://archives.nseindia.com/corporate/xbrl/IT_1075017_278956_10072020064153_WEB.xml"
"OMAXE","Omaxe Limited","7(2)","Guild Builders Private Limited","Promoters","Equity Shares","113950687","62.3",,"500000","5000000","Pledge","Equity Shares","113950687","62.3","10-Jul-2020","10-Jul-2020","10-Jul-2020","Pledge Creation","-","-","0","0","0","0","NA","-","10-Jul-2020 18:41","https://archives.nseindia.com/corporate/xbrl/IT_1075017_278956_10072020064153_WEB.xml"
"SEQUENT","Sequent Scientific Limited","7(2)","Manish Gupta","Director","Equity Shares","759000","0.31",,"1250000","50000000","Buy","Equity Shares","2009000","0.81","06-Jul-2020","06-Jul-2020","08-Jul-2020","ESOP","-","-","0","0","0","0","NSE","-","10-Jul-2020 17:47","https://archives.nseindia.com/corporate/xbrl/IT_1075015_278825_10072020054737_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Narayan S A","Employees/Designated Employees","Equity Shares","1127527","0.06",,"25000","23507850","Buy","Equity Shares","1152527","0.06","06-Jul-2020","06-Jul-2020","08-Jul-2020","ESOP","-","-","0","0","0","0","NA","-","10-Jul-2020 16:16","https://archives.nseindia.com/corporate/xbrl/IT_1075013_278541_10072020041646_WEB.xml"
