"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"PRAKASH","Prakash Industries Limited","7(2)","VED PRAKASH AGARWAL","Promoters","Equity Shares","8443907","4.93",,"500","17790","Buy","Equity Shares","8444407","4.93","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","BSE","-","02-Jul-2020 14:57","https://archives.nseindia.com/corporate/xbrl/IT_1074766_273461_02072020025735_WEB.xml"
"PRAKASH","Prakash Industries Limited","7(2)","VED PRAKASH AGARWAL","Promoters","Equity Shares","8444407","4.93",,"24500","866320","Buy","Equity Shares","8468907","4.94","30-Jun-2020","30-Jun-2020","01-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","02-Jul-2020 14:57","https://archives.nseindia.com/corporate/xbrl/IT_1074766_273461_02072020025735_WEB.xml"
